# summary of local and remote events executed
# LP, local, remote, total
"4198", 1, 5, 6
"34966", 1, 5, 6
"36279", 604, 2185, 2789
"39292", 559, 2030, 2589
"38000", 1, 4, 5
"20173", 1, 0, 1
"62538", 620, 1971, 2591
"17201", 431, 1223, 1654
"45529", 498, 1470, 1968
"25987", 430, 1260, 1690
"54401", 1, 3, 4
"56911", 591, 1817, 2408
"15461", 1, 6, 7
"5802", 1, 0, 1
"36343", 643, 2294, 2937
"50691", 470, 1278, 1748
"52335", 1, 15, 16
"7983", 495, 1618, 2113
"31969", 1, 0, 1
"44615", 653, 2066, 2719
"57151", 1, 1, 2
"60220", 1, 7, 8
"28984", 289272, 1206, 290478
"50627", 442, 1239, 1681
"62474", 581, 1893, 2474
"40050", 1, 2, 3
"16456", 1, 0, 1
"38411", 546, 1543, 2089
"17249", 452, 1265, 1717
"46178", 1, 0, 1
"22078", 1, 0, 1
"39805", 400, 1201, 1601
"3593", 1, 2, 3
"47279", 1, 0, 1
"57921", 545, 1663, 2208
"47981", 449, 1364, 1813
"55260", 467, 1276, 1743
"5853", 1, 0, 1
"17660", 1, 37, 38
"36295", 611, 2214, 2825
"32143", 552, 1853, 2405
"58450", 533, 1498, 2031
"27421", 1, 0, 1
"48423", 1, 3, 4
"38200", 1, 0, 1
"27622", 536, 1610, 2146
"57004", 1, 11, 12
"41249", 1, 1, 2
"56414", 619, 1882, 2501
"25554", 475, 1367, 1842
"52920", 1, 4, 5
"24879", 1, 0, 1
"55692", 420, 1258, 1678
"24118", 1, 3, 4
"45545", 504, 1490, 1994
"3102", 1, 0, 1
"52166", 527, 1681, 2208
"55211", 444, 1246, 1690
"2581", 1, 0, 1
"18048", 1, 0, 1
"26980", 442, 1281, 1723
"39437", 661, 2289, 2950
"26183", 1, 5, 6
"16881", 486, 1312, 1798
"59267", 508, 1815, 2323
"4201", 1, 0, 1
"38198", 1, 0, 1
"12184", 579, 1960, 2539
"11142", 494, 1540, 2034
"42402", 552, 1948, 2500
"34074", 1, 2, 3
"46932", 1, 226, 227
"1189", 1, 1, 2
"5133", 1, 0, 1
"41986", 548, 1707, 2255
"43589", 624, 1882, 2506
"63580", 494, 1404, 1898
"41797", 1, 0, 1
"22279", 1, 2, 3
"43211", 1, 5, 6
"33762", 517, 1541, 2058
"10306", 1, 0, 1
"18073", 1, 1, 2
"13852", 1, 3, 4
"34146", 438, 1343, 1781
"65552", 553, 1639, 2192
"32392", 1, 5, 6
"24431", 521, 1648, 2169
"61196", 1, 0, 1
"61913", 551, 1849, 2400
"3895", 433, 1254, 1687
"52487", 1, 0, 1
"42018", 564, 1750, 2314
"50505", 1, 0, 1
"47810", 1, 4, 5
"3863", 419, 1229, 1648
"11735", 650, 2224, 2874
"25522", 457, 1340, 1797
"48313", 1, 5, 6
"2388", 576, 2053, 2629
"34740", 558, 1740, 2298
"42222", 1, 7, 8
"6715", 1, 1, 2
"35830", 503, 1457, 1960
"37139", 1, 18, 19
"33963", 1, 8, 9
"45342", 1, 17, 18
"51781", 559, 1577, 2136
"46241", 1, 0, 1
"46234", 1, 3, 4
"59204", 1, 20, 21
"63516", 463, 1339, 1802
"15077", 1, 3, 4
"62103", 1, 2, 3
"62253", 1, 0, 1
"23999", 550, 1653, 2203
"10035", 368, 1009, 1377
"42386", 540, 1928, 2468
"8866", 1, 8, 9
"21530", 669, 2258, 2927
"49552", 441, 1344, 1785
"39966", 465, 1306, 1771
"7395", 1, 2, 3
"3844", 1, 12, 13
"19847", 463, 1256, 1719
"785", 448, 1330, 1778
"10856", 1, 0, 1
"63314", 1, 23, 24
"31165", 501, 1429, 1930
"53801", 594, 1839, 2433
"39324", 579, 2079, 2658
"36473", 1, 0, 1
"43525", 588, 1804, 2392
"18324", 509, 1457, 1966
"19046", 1, 6, 7
"62266", 1, 0, 1
"28898", 1, 5, 6
"29953", 1, 1, 2
"32328", 1, 2, 3
"16384", 515, 1540, 2055
"47787", 1, 0, 1
"19495", 1, 2, 3
"62227", 1, 0, 1
"40928", 495, 1393, 1888
"43509", 574, 1780, 2354
"31953", 1, 3, 4
"17182", 1, 0, 1
"65471", 511, 1544, 2055
"26964", 427, 1264, 1691
"59299", 532, 1861, 2393
"21118", 1, 5, 6
"10725", 576, 1815, 2391
"60887", 493, 1519, 2012
"27340", 1, 1, 2
"28199", 540, 1498, 2038
"62858", 405, 1212, 1617
"36043", 1, 16, 17
"8464", 511911, 2195, 514106
"7567", 539, 1618, 2157
"15924", 1, 0, 1
"15927", 1, 0, 1
"30498", 1, 4, 5
"63435", 432, 1276, 1708
"6092", 583, 1878, 2461
"55497", 1, 0, 1
"36521", 1, 13, 14
"57825", 497, 1566, 2063
"8459", 1, 424, 425
"27841", 1, 0, 1
"32048", 1, 140, 141
"16106", 1, 1, 2
"39573", 1, 0, 1
"58370", 495, 1422, 1917
"17410", 523, 1411, 1934
"7351", 1, 10, 11
"16769", 440, 1233, 1673
"26451", 491, 1591, 2082
"32223", 599, 1959, 2558
"52507", 1, 12, 13
"21850", 453, 1396, 1849
"55982", 1, 11, 12
"10067", 380, 1033, 1413
"31506", 1, 21, 22
"36182", 538, 2008, 2546
"38427", 551, 1559, 2110
"49986", 1, 0, 1
"8080", 544, 1735, 2279
"29738", 579, 1705, 2284
"8641", 631, 2069, 2700
"4675", 1, 8, 9
"25332", 1, 6, 7
"25887", 1, 0, 1
"49470", 1, 0, 1
"9982", 1, 0, 1
"2161", 1, 3, 4
"12465", 1, 15, 16
"27012", 450, 1301, 1751
"4473", 478, 1464, 1942
"12248", 615, 2051, 2666
"5813", 1, 6, 7
"32061", 1, 1, 2
"24149", 1, 0, 1
"39742", 1, 0, 1
"38363", 521, 1490, 2011
"12152", 560, 1916, 2476
"12600", 500, 1593, 2093
"39469", 680, 2342, 3022
"65455", 502, 1520, 2022
"25860", 1, 1, 2
"53624", 487, 1623, 2110
"6573", 569, 1875, 2444
"59709", 1, 0, 1
"14911", 1, 4, 5
"22444", 494, 1468, 1962
"52013", 1, 17, 18
"9731", 620, 1825, 2445
"1459", 617, 2009, 2626
"63419", 427, 1264, 1691
"20040", 1, 1, 2
"218", 1, 25, 26
"21724", 1, 0, 1
"32784", 511, 1421, 1932
"14544", 1, 1, 2
"5721", 1, 1, 2
"25705", 1, 4, 5
"9391", 1, 1, 2
"53432", 1, 3, 4
"7551", 532, 1598, 2130
"59638", 1, 0, 1
"59125", 1, 11, 12
"10083", 386, 1037, 1423
"10296", 1, 0, 1
"62522", 609, 1950, 2559
"33746", 509, 1527, 2036
"47366", 1, 1, 2
"6509", 536, 1787, 2323
"33633", 454, 1411, 1865
"65407", 414711, 1777, 416488
"16207", 441, 1385, 1826
"31052", 442, 1341, 1783
"50419", 1, 2, 3
"32287", 643, 2078, 2721
"18340", 516, 1478, 1994
"16400", 524, 1552, 2076
"1972", 446, 1177, 1623
"48380", 1, 0, 1
"64029", 569, 1824, 2393
"5691", 1, 8, 9
"50523", 1, 1, 2
"1188", 1, 0, 1
"4670", 1, 8, 9
"53539", 1, 11, 12
"34381", 1, 4, 5
"56163", 1, 284, 285
"39821", 406, 1215, 1621
"58620", 1, 0, 1
"58947", 550, 1571, 2121
"8722", 1, 5, 6
"58338", 473, 1387, 1860
"57010", 1, 0, 1
"21634", 1, 7, 8
"1227", 1, 18, 19
"44454", 553, 1845, 2398
"3276", 1, 18, 19
"13274", 609, 1976, 2585
